country,isocode,subregion,year,region,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
Belgium,BEL,Western Europe,2010,Europe,39844.4054386496,28.4,22.391,2.2001173,0,0,0,0
Belize,BLZ,Latin America and the Caribbean,2020,Americas,9618.01643529994,49.2,23.566,26.099539,1,0,0,0
Belize,BLZ,Latin America and the Caribbean,2015,Americas,9538.19054142614,40.6,16.48,33.39573,1,0,0,0
Belize,BLZ,Latin America and the Caribbean,2010,Americas,9734.89239729241,47.7,16.925,40.28166,1,0,0,0
Benin,BEN,Sub-Saharan Africa,2020,Africa,3244.58772756805,39.5,2.973,8.973695,0,0,0,0
Benin,BEN,Sub-Saharan Africa,2015,Africa,2725.33724817144,47.6,3.75,1.7541351,0,0,0,0
Benin,BEN,Sub-Saharan Africa,2010,Africa,2220.32854611489,37.5,2.138,3.1782088,0,0,0,0
Bermuda,BMU,Northern America,2020,Americas,85146.4006275696,33.6,7.097,10.872604,0,1,0,0
Bermuda,BMU,Northern America,2015,Americas,75943.4642970922,42.7,23.331,6.3028355,0,1,0,0
Bermuda,BMU,Northern America,2010,Americas,72188.6928304585,53.1,24.195,10.984613,0,1,0,0
Bhutan,BTN,Southern Asia,2020,Asia,12475.048003428,38.8,21.989,2.4675133,0,0,0,0
Bhutan,BTN,Southern Asia,2015,Asia,10213.8139608922,31.3,10.115,1.6202685,0,0,0,0
Bhutan,BTN,Southern Asia,2010,Asia,7245.77263522404,34,8.784,2.2803977,0,0,0,0
Bolivia,BOL,Latin America and the Caribbean,2020,Americas,8293.99121208365,43.6,15.231,3.6221154,0,0,0,0
Bolivia,BOL,Latin America and the Caribbean,2015,Americas,7152.04465025692,46.7,6.852,4.9297733,0,0,0,0
Bolivia,BOL,Latin America and the Caribbean,2010,Americas,5100.52757238083,43.7,5.283,13.682036,0,0,0,0
Bosnia and Herzegovina,BIH,Southern Europe,2020,Europe,16369.9341410765,35.2,37.676,1.3032873,0,0,0,0
Bosnia and Herzegovina,BIH,Southern Europe,2015,Europe,11848.6326084163,43.7,64.762,1.6199899,0,0,1,0
Bosnia and Herzegovina,BIH,Southern Europe,2010,Europe,9086.74853515985,32.1,59,1.4692488,0,0,1,0
Botswana,BWA,Sub-Saharan Africa,2020,Africa,15292.2624704777,41.5,40.389,9.34108,0,0,0,0
Botswana,BWA,Sub-Saharan Africa,2015,Africa,14143.6940733728,54.9,34.766,0.8843786,0,0,0,0
Botswana,BWA,Sub-Saharan Africa,2010,Africa,12490.8923158262,37.5,35.093,14.903273,0,0,0,0
Brazil,BRA,Latin America and the Caribbean,2020,Americas,16101.6183063466,48.9,30.267,22.870605,1,0,0,0
Brazil,BRA,Latin America and the Caribbean,2015,Americas,14821.4383174534,51.9,19.493,28.850302,1,0,0,0
Brazil,BRA,Latin America and the Caribbean,2010,Americas,14451.7158389637,49.2,18.242,26.994568,1,0,0,0
British Virgin Islands,VGB,Latin America and the Caribbean,2020,Americas,55667.4687778644,41.5,17.586,1.6565263,0,0,0,0
