year,country,isocode,tasa_homicidio,region,subregion
2009,Afghanistan,AFG,4.05955,Asia,Southern Asia
2010,Afghanistan,AFG,3.4754522,Asia,Southern Asia
2011,Afghanistan,AFG,4.1945353,Asia,Southern Asia
2012,Afghanistan,AFG,6.3743386,Asia,Southern Asia
2015,Afghanistan,AFG,9.952186,Asia,Southern Asia
2016,Afghanistan,AFG,6.6799974,Asia,Southern Asia
2017,Afghanistan,AFG,6.7920213,Asia,Southern Asia
2018,Afghanistan,AFG,6.733248,Asia,Southern Asia
2019,Afghanistan,AFG,7.163967,Asia,Southern Asia
2020,Afghanistan,AFG,6.578109,Asia,Southern Asia
2021,Afghanistan,AFG,4.0324583,Asia,Southern Asia
2023,Afghanistan,AFG,NA,Asia,Southern Asia
2023,Aland Islands,ALA,NA,Europe,Northern Europe
1992,Albania,ALB,3.9603949,Europe,Southern Europe
1993,Albania,ALB,5.8270354,Europe,Southern Europe
1994,Albania,ALB,3.4256952,Europe,Southern Europe
1995,Albania,ALB,7.948279,Europe,Southern Europe
1996,Albania,ALB,8.380375,Europe,Southern Europe
1997,Albania,ALB,41.304665,Europe,Southern Europe
1998,Albania,ALB,20.559898,Europe,Southern Europe
1999,Albania,ALB,16.684462,Europe,Southern Europe
2000,Albania,ALB,4.1375203,Europe,Southern Europe
2001,Albania,ALB,6.9886894,Europe,Southern Europe
2002,Albania,ALB,6.891948,Europe,Southern Europe
2003,Albania,ALB,5.3237762,Europe,Southern Europe
2004,Albania,ALB,4.2276373,Europe,Southern Europe
2005,Albania,ALB,5.0062430000000004,Europe,Southern Europe
2006,Albania,ALB,3.1139286,Europe,Southern Europe
2007,Albania,ALB,3.4735007,Europe,Southern Europe
2008,Albania,ALB,3.1073225,Europe,Southern Europe
2009,Albania,ALB,2.870187,Europe,Southern Europe
2010,Albania,ALB,4.063206,Europe,Southern Europe
2011,Albania,ALB,4.8772044,Europe,Southern Europe
2012,Albania,ALB,5.3951817,Europe,Southern Europe
2013,Albania,ALB,4.264726,Europe,Southern Europe
2014,Albania,ALB,4.614723,Europe,Southern Europe
2015,Albania,ALB,2.2079382,Europe,Southern Europe
2016,Albania,ALB,2.7261436,Europe,Southern Europe
2017,Albania,ALB,2.0012128,Europe,Southern Europe
2018,Albania,ALB,2.2803986,Europe,Southern Europe
2019,Albania,ALB,2.2530255,Europe,Southern Europe
2020,Albania,ALB,2.1239898,Europe,Southern Europe
2021,Albania,ALB,2.3160856,Europe,Southern Europe
2022,Albania,ALB,1.6975479,Europe,Southern Europe
2023,Albania,ALB,1.3870834,Europe,Southern Europe
2024,Albania,ALB,1.7551677,Europe,Southern Europe
2006,Algeria,DZA,0.92792225,Africa,Northern Africa
2007,Algeria,DZA,0.79264295,Africa,Northern Africa
2008,Algeria,DZA,0.9420696,Africa,Northern Africa
2009,Algeria,DZA,0.78049177,Africa,Northern Africa
2010,Algeria,DZA,0.7018856,Africa,Northern Africa
2011,Algeria,DZA,0.75873816,Africa,Northern Africa
2012,Algeria,DZA,1.3892517,Africa,Northern Africa
2013,Algeria,DZA,1.2495389,Africa,Northern Africa
2014,Algeria,DZA,1.4717499,Africa,Northern Africa
2015,Algeria,DZA,1.3643339,Africa,Northern Africa
2016,Algeria,DZA,1.326782,Africa,Northern Africa
2017,Algeria,DZA,1.2569172,Africa,Northern Africa
2018,Algeria,DZA,1.3363123,Africa,Northern Africa
2019,Algeria,DZA,1.1987653,Africa,Northern Africa
2020,Algeria,DZA,1.4849432,Africa,Northern Africa
2021,Algeria,DZA,1.5526875,Africa,Northern Africa
2022,Algeria,DZA,1.7481215,Africa,Northern Africa
2023,Algeria,DZA,1.1610724,Africa,Northern Africa
2001,American Samoa,ASM,1.7527409,Oceania,Polynesia
2002,American Samoa,ASM,12.267466,Oceania,Polynesia
2003,American Samoa,ASM,5.2658834,Oceania,Polynesia
2004,American Samoa,ASM,7.0400224,Oceania,Polynesia
2005,American Samoa,ASM,10.597524,Oceania,Polynesia
2006,American Samoa,ASM,7.0954065,Oceania,Polynesia
2007,American Samoa,ASM,1.7821182,Oceania,Polynesia
2008,American Samoa,ASM,5.3736477,Oceania,Polynesia
2009,American Samoa,ASM,3.6017864,Oceania,Polynesia
2010,American Samoa,ASM,9.053297,Oceania,Polynesia
2011,American Samoa,ASM,9.108214,Oceania,Polynesia
2012,American Samoa,ASM,3.6704657,Oceania,Polynesia
2013,American Samoa,ASM,5.5549383,Oceania,Polynesia
2014,American Samoa,ASM,5.6110425,Oceania,Polynesia
2015,American Samoa,ASM,7.564583,Oceania,Polynesia
2016,American Samoa,ASM,0,Oceania,Polynesia
2017,American Samoa,ASM,13.569573,Oceania,Polynesia
2018,American Samoa,ASM,25.53601,Oceania,Polynesia
2019,American Samoa,ASM,0,Oceania,Polynesia
2023,American Samoa,ASM,NA,Oceania,Polynesia
2004,Andorra,AND,1.3454423,Europe,Southern Europe
2007,Andorra,AND,0,Europe,Southern Europe
2008,Andorra,AND,1.1976837,Europe,Southern Europe
2009,Andorra,AND,0,Europe,Southern Europe
2010,Andorra,AND,0,Europe,Southern Europe
2011,Andorra,AND,1.285628,Europe,Southern Europe
2012,Andorra,AND,0,Europe,Southern Europe
2013,Andorra,AND,0,Europe,Southern Europe
2014,Andorra,AND,0,Europe,Southern Europe
2015,Andorra,AND,0,Europe,Southern Europe
2020,Andorra,AND,2.5846472,Europe,Southern Europe
2023,Andorra,AND,NA,Europe,Southern Europe
2011,Angola,AGO,4.3562007,Africa,Sub-Saharan Africa
2012,Angola,AGO,4.833701,Africa,Sub-Saharan Africa
2015,Angola,AGO,4.453473,Africa,Sub-Saharan Africa
2016,Angola,AGO,4.0982666,Africa,Sub-Saharan Africa
2023,Angola,AGO,NA,Africa,Sub-Saharan Africa
1990,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1991,Anguilla,AIA,11.490951,Americas,Latin America and the Caribbean
1992,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1993,Anguilla,AIA,10.836584,Americas,Latin America and the Caribbean
1994,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1995,Anguilla,AIA,10.29442,Americas,Latin America and the Caribbean
1996,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1997,Anguilla,AIA,9.752768,Americas,Latin America and the Caribbean
1998,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1999,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2000,Anguilla,AIA,8.947345,Americas,Latin America and the Caribbean
2001,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2002,Anguilla,AIA,17.113764,Americas,Latin America and the Caribbean
2003,Anguilla,AIA,16.842813,Americas,Latin America and the Caribbean
2004,Anguilla,AIA,8.28672,Americas,Latin America and the Caribbean
2005,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2006,Anguilla,AIA,40.09784,Americas,Latin America and the Caribbean
2007,Anguilla,AIA,31.555696,Americas,Latin America and the Caribbean
2008,Anguilla,AIA,7.7582526,Americas,Latin America and the Caribbean
2009,Anguilla,AIA,7.625729,Americas,Latin America and the Caribbean
2010,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2011,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2012,Anguilla,AIA,37.372,Americas,Latin America and the Caribbean
2013,Anguilla,AIA,7.546031,Americas,Latin America and the Caribbean
2014,Anguilla,AIA,29.136467,Americas,Latin America and the Caribbean
2023,Anguilla,AIA,NA,Americas,Latin America and the Caribbean
1990,Antigua and Barbuda,ATG,1.5856279,Americas,Latin America and the Caribbean
1991,Antigua and Barbuda,ATG,4.7328315,Americas,Latin America and the Caribbean
1992,Antigua and Barbuda,ATG,3.1053731,Americas,Latin America and the Caribbean
1993,Antigua and Barbuda,ATG,6.0987697,Americas,Latin America and the Caribbean
1994,Antigua and Barbuda,ATG,7.480271,Americas,Latin America and the Caribbean
1995,Antigua and Barbuda,ATG,10.26566,Americas,Latin America and the Caribbean
1996,Antigua and Barbuda,ATG,4.309633,Americas,Latin America and the Caribbean
1997,Antigua and Barbuda,ATG,1.4074001,Americas,Latin America and the Caribbean
2000,Antigua and Barbuda,ATG,6.674498,Americas,Latin America and the Caribbean
2001,Antigua and Barbuda,ATG,9.202171,Americas,Latin America and the Caribbean
2002,Antigua and Barbuda,ATG,6.490809,Americas,Latin America and the Caribbean
2003,Antigua and Barbuda,ATG,6.4198036,Americas,Latin America and the Caribbean
2004,Antigua and Barbuda,ATG,5.081333,Americas,Latin America and the Caribbean
2005,Antigua and Barbuda,ATG,3.768347,Americas,Latin America and the Caribbean
2006,Antigua and Barbuda,ATG,13.646965,Americas,Latin America and the Caribbean
2007,Antigua and Barbuda,ATG,20.806814,Americas,Latin America and the Caribbean
2008,Antigua and Barbuda,ATG,19.29757,Americas,Latin America and the Caribbean
2009,Antigua and Barbuda,ATG,19.00847,Americas,Latin America and the Caribbean
2010,Antigua and Barbuda,ATG,7.0323076,Americas,Latin America and the Caribbean
2012,Antigua and Barbuda,ATG,11.460005,Americas,Latin America and the Caribbean
2017,Antigua and Barbuda,ATG,22.107264,Americas,Latin America and the Caribbean
2018,Antigua and Barbuda,ATG,13.197545,Americas,Latin America and the Caribbean
2019,Antigua and Barbuda,ATG,3.283587,Americas,Latin America and the Caribbean
2020,Antigua and Barbuda,ATG,9.799011,Americas,Latin America and the Caribbean
2021,Antigua and Barbuda,ATG,17.32558,Americas,Latin America and the Caribbean
2022,Antigua and Barbuda,ATG,10.771219,Americas,Latin America and the Caribbean
2023,Antigua and Barbuda,ATG,10.716333,Americas,Latin America and the Caribbean
2001,Argentina,ARG,8.316318,Americas,Latin America and the Caribbean
2002,Argentina,ARG,9.3874860000000009,Americas,Latin America and the Caribbean
2003,Argentina,ARG,7.7216797,Americas,Latin America and the Caribbean
2004,Argentina,ARG,6.0233026,Americas,Latin America and the Caribbean
2005,Argentina,ARG,5.6047425,Americas,Latin America and the Caribbean
2006,Argentina,ARG,5.3278327,Americas,Latin America and the Caribbean
2007,Argentina,ARG,5.34526,Americas,Latin America and the Caribbean
2008,Argentina,ARG,5.865306,Americas,Latin America and the Caribbean
2009,Argentina,ARG,6.4667993,Americas,Latin America and the Caribbean
2010,Argentina,ARG,5.7739778,Americas,Latin America and the Caribbean
2011,Argentina,ARG,6.0171585,Americas,Latin America and the Caribbean
2012,Argentina,ARG,6.2805786,Americas,Latin America and the Caribbean
2013,Argentina,ARG,7.2142386,Americas,Latin America and the Caribbean
2014,Argentina,ARG,7.5027766,Americas,Latin America and the Caribbean
2015,Argentina,ARG,6.5252876,Americas,Latin America and the Caribbean
2016,Argentina,ARG,5.979456,Americas,Latin America and the Caribbean
2017,Argentina,ARG,5.2315598,Americas,Latin America and the Caribbean
2018,Argentina,ARG,5.338722,Americas,Latin America and the Caribbean
2019,Argentina,ARG,5.131915,Americas,Latin America and the Caribbean
2020,Argentina,ARG,5.3527217,Americas,Latin America and the Caribbean
2021,Argentina,ARG,4.6212635,Americas,Latin America and the Caribbean
2022,Argentina,ARG,4.3120246,Americas,Latin America and the Caribbean
2023,Argentina,ARG,4.4929113,Americas,Latin America and the Caribbean
1990,Armenia,ARM,5.011081,Asia,Western Asia
1991,Armenia,ARM,5.1466856,Asia,Western Asia
1992,Armenia,ARM,8.538965,Asia,Western Asia
1993,Armenia,ARM,7.7606196,Asia,Western Asia
1994,Armenia,ARM,4.666217,Asia,Western Asia
1995,Armenia,ARM,3.5070941,Asia,Western Asia
1996,Armenia,ARM,3.4769502,Asia,Western Asia
1997,Armenia,ARM,3.0804405,Asia,Western Asia
1998,Armenia,ARM,2.8986402,Asia,Western Asia
1999,Armenia,ARM,2.8415496,Asia,Western Asia
2000,Armenia,ARM,2.9114144,Asia,Western Asia
2001,Armenia,ARM,2.8531137,Asia,Western Asia
2002,Armenia,ARM,2.2581267,Asia,Western Asia
2004,Armenia,ARM,2.746034,Asia,Western Asia
2005,Armenia,ARM,1.9292492,Asia,Western Asia
2006,Armenia,ARM,2.6418073,Asia,Western Asia
2007,Armenia,ARM,2.5883927,Asia,Western Asia
2008,Armenia,ARM,3.277038,Asia,Western Asia
2009,Armenia,ARM,3.2931406,Asia,Western Asia
2010,Armenia,ARM,1.9105599,Asia,Western Asia
2011,Armenia,ARM,2.4287865,Asia,Western Asia
2012,Armenia,ARM,2.2241023,Asia,Western Asia
2013,Armenia,ARM,2.1556754,Asia,Western Asia
2014,Armenia,ARM,2.4637098,Asia,Western Asia
2015,Armenia,ARM,2.567458,Asia,Western Asia
2016,Armenia,ARM,2.9806848,Asia,Western Asia
2017,Armenia,ARM,2.4014022,Asia,Western Asia
2018,Armenia,ARM,1.7182341,Asia,Western Asia
2019,Armenia,ARM,2.5137987,Asia,Western Asia
2020,Armenia,ARM,2.5943546,Asia,Western Asia
2021,Armenia,ARM,3.1355078,Asia,Western Asia
2022,Armenia,ARM,2.7422228,Asia,Western Asia
2023,Armenia,ARM,2.2083356,Asia,Western Asia
1990,Aruba,ABW,0,Americas,Latin America and the Caribbean
1995,Aruba,ABW,7.903264,Americas,Latin America and the Caribbean
1999,Aruba,ABW,2.3129008,Americas,Latin America and the Caribbean
2001,Aruba,ABW,4.429434,Americas,Latin America and the Caribbean
2002,Aruba,ABW,5.4717464,Americas,Latin America and the Caribbean
2003,Aruba,ABW,4.333225,Americas,Latin America and the Caribbean
2004,Aruba,ABW,2.145635,Americas,Latin America and the Caribbean
2005,Aruba,ABW,6.3673987,Americas,Latin America and the Caribbean
2006,Aruba,ABW,5.2415023,Americas,Latin America and the Caribbean
2007,Aruba,ABW,3.106008,Americas,Latin America and the Caribbean
2008,Aruba,ABW,5.1122394,Americas,Latin America and the Caribbean
2009,Aruba,ABW,4.0393634,Americas,Latin America and the Caribbean
2010,Aruba,ABW,3.995465,Americas,Latin America and the Caribbean
2011,Aruba,ABW,1.9805706,Americas,Latin America and the Caribbean
2012,Aruba,ABW,3.9306824,Americas,Latin America and the Caribbean
2013,Aruba,ABW,5.8503766,Americas,Latin America and the Caribbean
2014,Aruba,ABW,1.9347506,Americas,Latin America and the Caribbean
2023,Aruba,ABW,NA,Americas,Latin America and the Caribbean
1990,Australia,AUS,2.1837761,Oceania,Australia and New Zealand
1991,Australia,AUS,1.9592936,Oceania,Australia and New Zealand
1992,Australia,AUS,1.7151692,Oceania,Australia and New Zealand
1993,Australia,AUS,1.8789239,Oceania,Australia and New Zealand
1994,Australia,AUS,1.7879659,Oceania,Australia and New Zealand
1995,Australia,AUS,1.9673568,Oceania,Australia and New Zealand
1996,Australia,AUS,1.9338653,Oceania,Australia and New Zealand
1997,Australia,AUS,1.9670452,Oceania,Australia and New Zealand
1998,Australia,AUS,1.7859323,Oceania,Australia and New Zealand
1999,Australia,AUS,2.0359619,Oceania,Australia and New Zealand
2000,Australia,AUS,1.8920714,Oceania,Australia and New Zealand
2001,Australia,AUS,1.7918525,Oceania,Australia and New Zealand
2002,Australia,AUS,1.8677896,Oceania,Australia and New Zealand
2003,Australia,AUS,1.5237553,Oceania,Australia and New Zealand
2004,Australia,AUS,1.3119382,Oceania,Australia and New Zealand
2005,Australia,AUS,1.2762085,Oceania,Australia and New Zealand
2006,Australia,AUS,1.364703,Oceania,Australia and New Zealand
2007,Australia,AUS,1.2169195,Oceania,Australia and New Zealand
2008,Australia,AUS,1.2213047,Oceania,Australia and New Zealand
2009,Australia,AUS,1.2073629,Oceania,Australia and New Zealand
2010,Australia,AUS,1.043286,Oceania,Australia and New Zealand
2011,Australia,AUS,1.1032139,Oceania,Australia and New Zealand
2012,Australia,AUS,1.0633343,Oceania,Australia and New Zealand
2013,Australia,AUS,1.054386,Oceania,Australia and New Zealand
2014,Australia,AUS,1.029853,Oceania,Australia and New Zealand
2015,Australia,AUS,0.98546845,Oceania,Australia and New Zealand
2016,Australia,AUS,0.9330059,Oceania,Australia and New Zealand
2017,Australia,AUS,0.84104836,Oceania,Australia and New Zealand
2018,Australia,AUS,0.8797874,Oceania,Australia and New Zealand
2019,Australia,AUS,0.8829515,Oceania,Australia and New Zealand
2020,Australia,AUS,0.8584594,Oceania,Australia and New Zealand
2021,Australia,AUS,0.74355406,Oceania,Australia and New Zealand
2022,Australia,AUS,0.8396631,Oceania,Australia and New Zealand
2023,Australia,AUS,0.85440606,Oceania,Australia and New Zealand
1990,Austria,AUT,1.1589109,Europe,Western Europe
1991,Austria,AUT,1.327809,Europe,Western Europe
1992,Austria,AUT,1.236817,Europe,Western Europe
1993,Austria,AUT,1.0116984,Europe,Western Europe
1994,Austria,AUT,1.10857,Europe,Western Europe
1995,Austria,AUT,0.9810924,Europe,Western Europe
1996,Austria,AUT,1.2435757,Europe,Western Europe
1997,Austria,AUT,0.82812583,Europe,Western Europe
1998,Austria,AUT,0.96509784,Europe,Western Europe
1999,Austria,AUT,0.75057304,Europe,Western Europe
2000,Austria,AUT,1.0233463,Europe,Western Europe
2001,Austria,AUT,0.8704051,Europe,Western Europe
2002,Austria,AUT,0.80429256,Europe,Western Europe
2003,Austria,AUT,0.6155663,Europe,Western Europe
2004,Austria,AUT,0.7218458,Europe,Western Europe
2005,Austria,AUT,0.6561995,Europe,Western Europe
2006,Austria,AUT,0.73761487,Europe,Western Europe
2007,Austria,AUT,0.5423679,Europe,Western Europe
2008,Austria,AUT,0.69684297,Europe,Western Europe
2009,Austria,AUT,0.6111396,Europe,Western Europe
2010,Austria,AUT,0.7292209,Europe,Western Europe
2011,Austria,AUT,0.9174017,Europe,Western Europe
2012,Austria,AUT,0.96067166,Europe,Western Europe
2013,Austria,AUT,0.71922034,Europe,Western Europe
2014,Austria,AUT,0.49135348,Europe,Western Europe
2015,Austria,AUT,0.50902134,Europe,Western Europe
2016,Austria,AUT,0.61799634,Europe,Western Europe
2017,Austria,AUT,0.79556507,Europe,Western Europe
2018,Austria,AUT,0.97266906,Europe,Western Europe
2019,Austria,AUT,0.8670316,Europe,Western Europe
2020,Austria,AUT,0.72858477,Europe,Western Europe
2021,Austria,AUT,0.72487557,Europe,Western Europe
2022,Austria,AUT,0.8715148,Europe,Western Europe
2023,Austria,AUT,0.876191,Europe,Western Europe
1990,Azerbaijan,AZE,4.549806,Asia,Western Asia
1991,Azerbaijan,AZE,4.8808446,Asia,Western Asia
1992,Azerbaijan,AZE,7.615673,Asia,Western Asia
1993,Azerbaijan,AZE,6.369838,Asia,Western Asia
1994,Azerbaijan,AZE,6.5581155,Asia,Western Asia
1995,Azerbaijan,AZE,5.738876,Asia,Western Asia
1996,Azerbaijan,AZE,5.1079164,Asia,Western Asia
1997,Azerbaijan,AZE,3.5785291,Asia,Western Asia
1998,Azerbaijan,AZE,3.4887471,Asia,Western Asia
1999,Azerbaijan,AZE,2.9874804,Asia,Western Asia
2000,Azerbaijan,AZE,2.7645986,Asia,Western Asia
2001,Azerbaijan,AZE,2.6418574,Asia,Western Asia
2002,Azerbaijan,AZE,2.5461998,Asia,Western Asia
2007,Azerbaijan,AZE,2.1408398,Asia,Western Asia
2008,Azerbaijan,AZE,2.1470172,Asia,Western Asia
2010,Azerbaijan,AZE,2.2521412,Asia,Western Asia
2011,Azerbaijan,AZE,2.2795656,Asia,Western Asia
2012,Azerbaijan,AZE,2.1543953,Asia,Western Asia
2013,Azerbaijan,AZE,2.3252366,Asia,Western Asia
2014,Azerbaijan,AZE,2.4503853,Asia,Western Asia
2015,Azerbaijan,AZE,2.1634703,Asia,Western Asia
2016,Azerbaijan,AZE,1.7125322,Asia,Western Asia
2017,Azerbaijan,AZE,1.8257494,Asia,Western Asia
2018,Azerbaijan,AZE,1.9621935,Asia,Western Asia
2019,Azerbaijan,AZE,1.661643,Asia,Western Asia
2020,Azerbaijan,AZE,2.1509116,Asia,Western Asia
2021,Azerbaijan,AZE,1.7001535,Asia,Western Asia
2022,Azerbaijan,AZE,1.7872226,Asia,Western Asia
2023,Azerbaijan,AZE,2.1612282,Asia,Western Asia
2024,Azerbaijan,AZE,1.9929228,Asia,Western Asia
1990,Bahamas,BHS,16.307627,Americas,Latin America and the Caribbean
1991,Bahamas,BHS,9.973961,Americas,Latin America and the Caribbean
1992,Bahamas,BHS,14.339324,Americas,Latin America and the Caribbean
1993,Bahamas,BHS,12.013475,Americas,Latin America and the Caribbean
1994,Bahamas,BHS,17.53741,Americas,Latin America and the Caribbean
1995,Bahamas,BHS,13.268715,Americas,Latin America and the Caribbean
1996,Bahamas,BHS,16.652082,Americas,Latin America and the Caribbean
1997,Bahamas,BHS,14.795588,Americas,Latin America and the Caribbean
2000,Bahamas,BHS,22.851143,Americas,Latin America and the Caribbean
2001,Bahamas,BHS,13.116314,Americas,Latin America and the Caribbean
2002,Bahamas,BHS,15.680882,Americas,Latin America and the Caribbean
2003,Bahamas,BHS,14.897912,Americas,Latin America and the Caribbean
2004,Bahamas,BHS,12.949479,Americas,Latin America and the Caribbean
2005,Bahamas,BHS,15.120938,Americas,Latin America and the Caribbean
2006,Bahamas,BHS,17.509867,Americas,Latin America and the Caribbean
2007,Bahamas,BHS,22.0754,Americas,Latin America and the Caribbean
2008,Bahamas,BHS,20.384201,Americas,Latin America and the Caribbean
2009,Bahamas,BHS,23.979494,Americas,Latin America and the Caribbean
2010,Bahamas,BHS,25.579798,Americas,Latin America and the Caribbean
2011,Bahamas,BHS,34.164673,Americas,Latin America and the Caribbean
2012,Bahamas,BHS,29.296654,Americas,Latin America and the Caribbean
2013,Bahamas,BHS,31.402311,Americas,Latin America and the Caribbean
2014,Bahamas,BHS,31.912277,Americas,Latin America and the Caribbean
2015,Bahamas,BHS,37.887978,Americas,Latin America and the Caribbean
2016,Bahamas,BHS,28.604156,Americas,Latin America and the Caribbean
2017,Bahamas,BHS,31.243198,Americas,Latin America and the Caribbean
2018,Bahamas,BHS,23.171873,Americas,Latin America and the Caribbean
2019,Bahamas,BHS,24.070469,Americas,Latin America and the Caribbean
2020,Bahamas,BHS,18.440746,Americas,Latin America and the Caribbean
2021,Bahamas,BHS,30.022226,Americas,Latin America and the Caribbean
2022,Bahamas,BHS,32.19814,Americas,Latin America and the Caribbean
2023,Bahamas,BHS,NA,Americas,Latin America and the Caribbean
1995,Bahrain,BHR,0.8428548,Asia,Western Asia
1996,Bahrain,BHR,1.3145074,Asia,Western Asia
1997,Bahrain,BHR,0.96153075,Asia,Western Asia
2001,Bahrain,BHR,1.285796,Asia,Western Asia
2002,Bahrain,BHR,1.0635505,Asia,Western Asia
2007,Bahrain,BHR,0.37828457,Asia,Western Asia
2008,Bahrain,BHR,0.5353732,Asia,Western Asia
2009,Bahrain,BHR,1.098339,Asia,Western Asia
2010,Bahrain,BHR,0.1648473,Asia,Western Asia
2011,Bahrain,BHR,0.9944246,Asia,Western Asia
2012,Bahrain,BHR,0.7399472,Asia,Western Asia
2013,Bahrain,BHR,0.87495816,Asia,Western Asia
2014,Bahrain,BHR,0.6855325,Asia,Western Asia
2015,Bahrain,BHR,0.21903406,Asia,Western Asia
2016,Bahrain,BHR,0.27979776,Asia,Western Asia
2017,Bahrain,BHR,0.40485966,Asia,Western Asia
2018,Bahrain,BHR,0.33386183,Asia,Western Asia
2019,Bahrain,BHR,0.2692387,Asia,Western Asia
2020,Bahrain,BHR,0,Asia,Western Asia
2021,Bahrain,BHR,0.06658838,Asia,Western Asia
2022,Bahrain,BHR,0.19563614,Asia,Western Asia
2023,Bahrain,BHR,NA,Asia,Western Asia
2000,Bangladesh,BGD,2.4846835,Asia,Southern Asia
2001,Bangladesh,BGD,2.6884823,Asia,Southern Asia
2002,Bangladesh,BGD,2.5213473,Asia,Southern Asia
2003,Bangladesh,BGD,2.46222,Asia,Southern Asia
2004,Bangladesh,BGD,2.7305262,Asia,Southern Asia
2005,Bangladesh,BGD,2.4821064,Asia,Southern Asia
2006,Bangladesh,BGD,2.8455124,Asia,Southern Asia
2007,Bangladesh,BGD,2.6103241,Asia,Southern Asia
2008,Bangladesh,BGD,2.742278,Asia,Southern Asia
2009,Bangladesh,BGD,2.7963784,Asia,Southern Asia
2010,Bangladesh,BGD,2.6202023,Asia,Southern Asia
2011,Bangladesh,BGD,2.5821812,Asia,Southern Asia
2012,Bangladesh,BGD,2.6529937,Asia,Southern Asia
2013,Bangladesh,BGD,2.8064523,Asia,Southern Asia
2014,Bangladesh,BGD,2.8575964,Asia,Southern Asia
2015,Bangladesh,BGD,2.5316348,Asia,Southern Asia
2016,Bangladesh,BGD,2.2330432,Asia,Southern Asia
2017,Bangladesh,BGD,2.1882265,Asia,Southern Asia
2018,Bangladesh,BGD,2.3421767,Asia,Southern Asia
2023,Bangladesh,BGD,NA,Asia,Southern Asia
1990,Barbados,BRB,13.148659,Americas,Latin America and the Caribbean
1991,Barbados,BRB,8.096463,Americas,Latin America and the Caribbean
1992,Barbados,BRB,8.452874,Americas,Latin America and the Caribbean
1993,Barbados,BRB,8.045145,Americas,Latin America and the Caribbean
1994,Barbados,BRB,7.644661,Americas,Latin America and the Caribbean
1995,Barbados,BRB,6.4875717,Americas,Latin America and the Caribbean
1998,Barbados,BRB,7.620906,Americas,Latin America and the Caribbean
1999,Barbados,BRB,8.761321,Americas,Latin America and the Caribbean
2000,Barbados,BRB,7.6317525,Americas,Latin America and the Caribbean
2001,Barbados,BRB,9.526513,Americas,Latin America and the Caribbean
2002,Barbados,BRB,9.4643910000000009,Americas,Latin America and the Caribbean
2003,Barbados,BRB,12.4164715,Americas,Latin America and the Caribbean
2004,Barbados,BRB,8.230515,Americas,Latin America and the Caribbean
2005,Barbados,BRB,10.792464,Americas,Latin America and the Caribbean
2006,Barbados,BRB,12.962891,Americas,Latin America and the Caribbean
2007,Barbados,BRB,9.2152815,Americas,Latin America and the Caribbean
2008,Barbados,BRB,8.433728,Americas,Latin America and the Caribbean
2009,Barbados,BRB,6.9312077,Americas,Latin America and the Caribbean
2010,Barbados,BRB,11.262754,Americas,Latin America and the Caribbean
2011,Barbados,BRB,9.777684,Americas,Latin America and the Caribbean
2012,Barbados,BRB,7.944031,Americas,Latin America and the Caribbean
2013,Barbados,BRB,8.643509,Americas,Latin America and the Caribbean
2014,Barbados,BRB,8.981563,Americas,Latin America and the Caribbean
2015,Barbados,BRB,11.111509,Americas,Latin America and the Caribbean
2016,Barbados,BRB,7.868454,Americas,Latin America and the Caribbean
2017,Barbados,BRB,10.7077465,Americas,Latin America and the Caribbean
2018,Barbados,BRB,9.9746895,Americas,Latin America and the Caribbean
2019,Barbados,BRB,17.069246,Americas,Latin America and the Caribbean
2020,Barbados,BRB,14.554594,Americas,Latin America and the Caribbean
2021,Barbados,BRB,11.341626,Americas,Latin America and the Caribbean
2022,Barbados,BRB,15.231051,Americas,Latin America and the Caribbean
2023,Barbados,BRB,NA,Americas,Latin America and the Caribbean
1990,Belarus,BLR,4.9871097,Europe,Eastern Europe
1991,Belarus,BLR,4.5615563,Europe,Eastern Europe
1992,Belarus,BLR,5.81352,Europe,Eastern Europe
1993,Belarus,BLR,7.3818607,Europe,Eastern Europe
1994,Belarus,BLR,8.103469,Europe,Eastern Europe
1995,Belarus,BLR,9.414105,Europe,Eastern Europe
1996,Belarus,BLR,9.543461,Europe,Eastern Europe
1997,Belarus,BLR,10.086576,Europe,Eastern Europe
1998,Belarus,BLR,10.277188,Europe,Eastern Europe
1999,Belarus,BLR,9.701946,Europe,Eastern Europe
2000,Belarus,BLR,10.138807,Europe,Eastern Europe
2001,Belarus,BLR,9.750389,Europe,Eastern Europe
2002,Belarus,BLR,10.016763,Europe,Eastern Europe
2007,Belarus,BLR,6.7864785,Europe,Eastern Europe
2008,Belarus,BLR,5.7926254,Europe,Eastern Europe
2009,Belarus,BLR,5.1223598,Europe,Eastern Europe
2010,Belarus,BLR,4.225166,Europe,Eastern Europe
2011,Belarus,BLR,3.9376168,Europe,Eastern Europe
2012,Belarus,BLR,3.592912,Europe,Eastern Europe
