variable_observada,si_falta_pib,si_esta_pib,si_falta_hom,si_esta_hom,si_falta_gini,si_esta_gini,si_falta_desemp,si_esta_desemp
pib_per_capita,NA,20841.14529723118,14790.475550209023,25035.359553689726,17855.299555273978,25332.45948051135,29206.958142116742,19852.31563639105
indice_gini,NA,36.00042016806723,36.7,35.769832402234634,NA,36.00042016806723,39.1,35.9873417721519
tasa_desempleo_joven,23.32084,18.05997373358349,18.0861,18.44263414634146,18.267694704049845,18.33357383966245,NA,18.295675627240144
tasa_homicidio,3.81333754,6.9205298653125,NA,6.834695823176795,7.819644680327869,5.827736935698324,9.229359414705883,6.586468499664634
