year,country,isocode,region,subregion,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
2015,Belize,BLZ,Americas,Latin America and the Caribbean,9538.19054142614,NA,16.48,33.39573,1,0,0,0
2010,Belize,BLZ,Americas,Latin America and the Caribbean,9734.89239729241,NA,16.925,40.28166,1,0,0,0
2020,Benin,BEN,Africa,Sub-Saharan Africa,3244.58772756805,NA,2.973,NA,0,0,0,0
2015,Benin,BEN,Africa,Sub-Saharan Africa,2725.33724817144,47.6,3.75,NA,0,0,0,0
2010,Benin,BEN,Africa,Sub-Saharan Africa,2220.32854611489,NA,2.138,NA,0,0,0,0
2020,Bermuda,BMU,Americas,Northern America,85146.4006275696,NA,NA,10.872604,0,1,0,0
2015,Bermuda,BMU,Americas,Northern America,75943.4642970922,NA,NA,6.3028355,0,1,0,0
2010,Bermuda,BMU,Americas,Northern America,72188.6928304585,NA,NA,10.984613,0,1,0,0
2020,Bhutan,BTN,Asia,Southern Asia,12475.048003428,NA,21.989,2.4675133,0,0,0,0
2015,Bhutan,BTN,Asia,Southern Asia,10213.8139608922,NA,10.115,1.6202685,0,0,0,0
2010,Bhutan,BTN,Asia,Southern Asia,7245.77263522404,NA,8.784,2.2803977,0,0,0,0
2020,Bolivia,BOL,Americas,Latin America and the Caribbean,8293.99121208365,43.6,15.231,3.6221154,0,0,0,0
2015,Bolivia,BOL,Americas,Latin America and the Caribbean,7152.04465025692,46.7,6.852,4.9297733,0,0,0,0
2010,Bolivia,BOL,Americas,Latin America and the Caribbean,5100.52757238083,NA,5.283,NA,0,0,0,0
2020,Bosnia and Herzegovina,BIH,Europe,Southern Europe,16369.9341410765,NA,37.676,1.3032873,0,0,0,0
2015,Bosnia and Herzegovina,BIH,Europe,Southern Europe,11848.6326084163,NA,64.762,1.6199899,0,0,1,0
2010,Bosnia and Herzegovina,BIH,Europe,Southern Europe,9086.74853515985,NA,59,1.4692488,0,0,1,0
2020,Botswana,BWA,Africa,Sub-Saharan Africa,15292.2624704777,NA,40.389,9.34108,0,0,0,0
2015,Botswana,BWA,Africa,Sub-Saharan Africa,14143.6940733728,54.9,34.766,NA,0,0,0,0
